"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","button_pressed"
"6092.000000000029","iaps/8231lp.jpg","","image-button-response","16","158109","0.0-8.0-0.0","j9ech","0"
"null","iaps/8231lp.jpg","null","image-keyboard-response","17","163111","0.0-8.0-1.0","j9ech",""
"3127","iaps/9921hp.jpg","","image-button-response","18","166242","0.0-8.0-0.1","j9ech","1"
"null","iaps/9921hp.jpg","null","image-keyboard-response","19","171245","0.0-8.0-1.1","j9ech",""
"2639","iaps/9145lp.jpg","","image-button-response","20","173886","0.0-8.0-0.2","j9ech","0"
"null","iaps/9145lp.jpg","null","image-keyboard-response","21","178888","0.0-8.0-1.2","j9ech",""
"3490","iaps/3181hp.jpg","","image-button-response","22","182380","0.0-8.0-0.3","j9ech","0"
"null","iaps/3181hp.jpg","null","image-keyboard-response","23","187384","0.0-8.0-1.3","j9ech",""
"11752","<center><p>You will see a series of images presented briefly and <b>select which regulation strategy to use for each image</b>. You will then see the same images again and implement the strategy you chose <b>for 5 seconds. After the 5 seconds are up, the next image will appear automatically.</b></p></center>","32","html-keyboard-response","24","199138","0.0-9.0","j9ech",""
"2194","iaps/9470l.jpg","","image-button-response","25","201333","0.0-10.0-0.0","j9ech","0"
"null","iaps/9470l.jpg","null","image-keyboard-response","26","206336","0.0-10.0-1.0","j9ech",""
"2098","iaps/3068h.jpg","","image-button-response","27","208436","0.0-10.0-0.1","j9ech","1"
"null","iaps/3068h.jpg","null","image-keyboard-response","28","213439","0.0-10.0-1.1","j9ech",""
"2536","iaps/9440l.JPG","","image-button-response","29","215977","0.0-10.0-0.2","j9ech","0"
"null","iaps/9440l.JPG","null","image-keyboard-response","30","220979","0.0-10.0-1.2","j9ech",""
"2193.000000000029","iaps/6836l.jpg","","image-button-response","31","223175","0.0-10.0-0.3","j9ech","0"
"null","iaps/6836l.jpg","null","image-keyboard-response","32","228178","0.0-10.0-1.3","j9ech",""
"3704","iaps/2800h.JPG","","image-button-response","33","231884","0.0-10.0-0.4","j9ech","0"
"null","iaps/2800h.JPG","null","image-keyboard-response","34","236888","0.0-10.0-1.4","j9ech",""
"1598","iaps/9181h.jpg","","image-button-response","35","238488","0.0-10.0-0.5","j9ech","1"
"null","iaps/9181h.jpg","null","image-keyboard-response","36","243491","0.0-10.0-1.5","j9ech",""
"2767","iaps/3140h.JPG","","image-button-response","37","246260","0.0-10.0-0.6","j9ech","1"
"null","iaps/3140h.JPG","null","image-keyboard-response","38","251263","0.0-10.0-1.6","j9ech",""
"2155","iaps/6190l.JPG","","image-button-response","39","253420","0.0-10.0-0.7","j9ech","0"
"null","iaps/6190l.JPG","null","image-keyboard-response","40","258422","0.0-10.0-1.7","j9ech",""
"1943.9999999999418","iaps/9120l.JPG","","image-button-response","41","260369","0.0-10.0-0.8","j9ech","0"
"null","iaps/9120l.JPG","null","image-keyboard-response","42","265371","0.0-10.0-1.8","j9ech",""
"1902.9999999999418","iaps/2700l.JPG","","image-button-response","43","267277","0.0-10.0-0.9","j9ech","0"
"null","iaps/2700l.JPG","null","image-keyboard-response","44","272279","0.0-10.0-1.9","j9ech",""
"2604","iaps/7360l.JPG","","image-button-response","45","274885","0.0-10.0-0.10","j9ech","0"
"null","iaps/7360l.JPG","null","image-keyboard-response","46","279887","0.0-10.0-1.10","j9ech",""
"2048","iaps/3150h.JPG","","image-button-response","47","281938","0.0-10.0-0.11","j9ech","1"
"null","iaps/3150h.JPG","null","image-keyboard-response","48","286941","0.0-10.0-1.11","j9ech",""
"1616.0000000000582","iaps/3261h.jpg","","image-button-response","49","288559","0.0-10.0-0.12","j9ech","1"
"null","iaps/3261h.jpg","null","image-keyboard-response","50","293562","0.0-10.0-1.12","j9ech",""
"1964","iaps/2691l.jpg","","image-button-response","51","295528","0.0-10.0-0.13","j9ech","0"
"null","iaps/2691l.jpg","null","image-keyboard-response","52","300530","0.0-10.0-1.13","j9ech",""
"4119","iaps/9420h.JPG","","image-button-response","53","304651","0.0-10.0-0.14","j9ech","1"
"null","iaps/9420h.JPG","null","image-keyboard-response","54","309653","0.0-10.0-1.14","j9ech",""
"1780","iaps/3180h.JPG","","image-button-response","55","311435","0.0-10.0-0.15","j9ech","0"
"null","iaps/3180h.JPG","null","image-keyboard-response","56","316438","0.0-10.0-1.15","j9ech",""
"2044","iaps/6010l.JPG","","image-button-response","57","318484","0.0-10.0-0.16","j9ech","0"
"null","iaps/6010l.JPG","null","image-keyboard-response","58","323485","0.0-10.0-1.16","j9ech",""
"2523.000000000058","iaps/9160l.JPG","","image-button-response","59","326011","0.0-10.0-0.17","j9ech","0"
"null","iaps/9160l.JPG","null","image-keyboard-response","60","331013","0.0-10.0-1.17","j9ech",""
"1620.0000000000582","iaps/2490l.JPG","","image-button-response","61","332636","0.0-10.0-0.18","j9ech","0"
"4310","iaps/2490l.JPG","32","image-keyboard-response","62","337638","0.0-10.0-1.18","j9ech",""
"1960","iaps/6831h.jpg","","image-button-response","63","339603","0.0-10.0-0.19","j9ech","1"
"null","iaps/6831h.jpg","null","image-keyboard-response","64","344605","0.0-10.0-1.19","j9ech",""
"3061","iaps/9410h.JPG","","image-button-response","65","347669","0.0-10.0-0.20","j9ech","1"
"null","iaps/9410h.JPG","null","image-keyboard-response","66","352671","0.0-10.0-1.20","j9ech",""
"1535","iaps/1301l.jpg","","image-button-response","67","354209","0.0-10.0-0.21","j9ech","0"
"null","iaps/1301l.jpg","null","image-keyboard-response","68","359211","0.0-10.0-1.21","j9ech",""
"1684.0000000000582","iaps/3000h.JPG","","image-button-response","69","360897","0.0-10.0-0.22","j9ech","1"
"null","iaps/3000h.JPG","null","image-keyboard-response","70","365900","0.0-10.0-1.22","j9ech",""
"3009","iaps/3230h.JPG","","image-button-response","71","368911","0.0-10.0-0.23","j9ech","0"
"null","iaps/3230h.JPG","null","image-keyboard-response","72","373913","0.0-10.0-1.23","j9ech",""
"1637","iaps/2278l.jpg","","image-button-response","73","375553","0.0-10.0-0.24","j9ech","0"
"null","iaps/2278l.jpg","null","image-keyboard-response","74","380555","0.0-10.0-1.24","j9ech",""
"1625","iaps/9102l.JPG","","image-button-response","75","382182","0.0-10.0-0.25","j9ech","0"
"null","iaps/9102l.JPG","null","image-keyboard-response","76","387185","0.0-10.0-1.25","j9ech",""
"2076","iaps/9252h.jpg","","image-button-response","77","389263","0.0-10.0-0.26","j9ech","1"
"null","iaps/9252h.jpg","null","image-keyboard-response","78","394265","0.0-10.0-1.26","j9ech",""
"1696.9999999999418","iaps/2053h.JPG","","image-button-response","79","395965","0.0-10.0-0.27","j9ech","0"
"null","iaps/2053h.JPG","null","image-keyboard-response","80","400967","0.0-10.0-1.27","j9ech",""
"2424.000000000058","iaps/3530h.JPG","","image-button-response","81","403392","0.0-10.0-0.28","j9ech","1"
"null","iaps/3530h.JPG","null","image-keyboard-response","82","408394","0.0-10.0-1.28","j9ech",""
"2263.000000000058","iaps/2312l.jpg","","image-button-response","83","410660","0.0-10.0-0.29","j9ech","0"
"null","iaps/2312l.jpg","null","image-keyboard-response","84","415662","0.0-10.0-1.29","j9ech",""
"1961","<center><p>Thank you for your participation! Your response has been recorded.</p></center>","32","html-keyboard-response","85","417625","0.0-11.0","j9ech",""
