rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,button_pressed
3127,iaps/9921hp.jpg,,image-button-response,18,166242,0.0-8.0-0.1,j9ech,1
null,iaps/9921hp.jpg,null,image-keyboard-response,19,171245,0.0-8.0-1.1,j9ech,
2639,iaps/9145lp.jpg,,image-button-response,20,173886,0.0-8.0-0.2,j9ech,0
null,iaps/9145lp.jpg,null,image-keyboard-response,21,178888,0.0-8.0-1.2,j9ech,
3490,iaps/3181hp.jpg,,image-button-response,22,182380,0.0-8.0-0.3,j9ech,0
null,iaps/3181hp.jpg,null,image-keyboard-response,23,187384,0.0-8.0-1.3,j9ech,
11752,"<center><p>You will see a series of images presented briefly and <b>select which regulation strategy to use for each image</b>. You will then see the same images again and implement the strategy you chose <b>for 5 seconds. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,24,199138,0.0-9.0,j9ech,
2194,iaps/9470l.jpg,,image-button-response,25,201333,0.0-10.0-0.0,j9ech,0
null,iaps/9470l.jpg,null,image-keyboard-response,26,206336,0.0-10.0-1.0,j9ech,
2098,iaps/3068h.jpg,,image-button-response,27,208436,0.0-10.0-0.1,j9ech,1
null,iaps/3068h.jpg,null,image-keyboard-response,28,213439,0.0-10.0-1.1,j9ech,
2536,iaps/9440l.JPG,,image-button-response,29,215977,0.0-10.0-0.2,j9ech,0
null,iaps/9440l.JPG,null,image-keyboard-response,30,220979,0.0-10.0-1.2,j9ech,
2193,iaps/6836l.jpg,,image-button-response,31,223175,0.0-10.0-0.3,j9ech,0
null,iaps/6836l.jpg,null,image-keyboard-response,32,228178,0.0-10.0-1.3,j9ech,
3704,iaps/2800h.JPG,,image-button-response,33,231884,0.0-10.0-0.4,j9ech,0
null,iaps/2800h.JPG,null,image-keyboard-response,34,236888,0.0-10.0-1.4,j9ech,
1598,iaps/9181h.jpg,,image-button-response,35,238488,0.0-10.0-0.5,j9ech,1
null,iaps/9181h.jpg,null,image-keyboard-response,36,243491,0.0-10.0-1.5,j9ech,
2767,iaps/3140h.JPG,,image-button-response,37,246260,0.0-10.0-0.6,j9ech,1
null,iaps/3140h.JPG,null,image-keyboard-response,38,251263,0.0-10.0-1.6,j9ech,
2155,iaps/6190l.JPG,,image-button-response,39,253420,0.0-10.0-0.7,j9ech,0
null,iaps/6190l.JPG,null,image-keyboard-response,40,258422,0.0-10.0-1.7,j9ech,
1944,iaps/9120l.JPG,,image-button-response,41,260369,0.0-10.0-0.8,j9ech,0
null,iaps/9120l.JPG,null,image-keyboard-response,42,265371,0.0-10.0-1.8,j9ech,
1903,iaps/2700l.JPG,,image-button-response,43,267277,0.0-10.0-0.9,j9ech,0
null,iaps/2700l.JPG,null,image-keyboard-response,44,272279,0.0-10.0-1.9,j9ech,
2604,iaps/7360l.JPG,,image-button-response,45,274885,0.0-10.0-0.10,j9ech,0
null,iaps/7360l.JPG,null,image-keyboard-response,46,279887,0.0-10.0-1.10,j9ech,
2048,iaps/3150h.JPG,,image-button-response,47,281938,0.0-10.0-0.11,j9ech,1
null,iaps/3150h.JPG,null,image-keyboard-response,48,286941,0.0-10.0-1.11,j9ech,
1616,iaps/3261h.jpg,,image-button-response,49,288559,0.0-10.0-0.12,j9ech,1
null,iaps/3261h.jpg,null,image-keyboard-response,50,293562,0.0-10.0-1.12,j9ech,
1964,iaps/2691l.jpg,,image-button-response,51,295528,0.0-10.0-0.13,j9ech,0
null,iaps/2691l.jpg,null,image-keyboard-response,52,300530,0.0-10.0-1.13,j9ech,
4119,iaps/9420h.JPG,,image-button-response,53,304651,0.0-10.0-0.14,j9ech,1
null,iaps/9420h.JPG,null,image-keyboard-response,54,309653,0.0-10.0-1.14,j9ech,
1780,iaps/3180h.JPG,,image-button-response,55,311435,0.0-10.0-0.15,j9ech,0
null,iaps/3180h.JPG,null,image-keyboard-response,56,316438,0.0-10.0-1.15,j9ech,
2044,iaps/6010l.JPG,,image-button-response,57,318484,0.0-10.0-0.16,j9ech,0
null,iaps/6010l.JPG,null,image-keyboard-response,58,323485,0.0-10.0-1.16,j9ech,
2523,iaps/9160l.JPG,,image-button-response,59,326011,0.0-10.0-0.17,j9ech,0
null,iaps/9160l.JPG,null,image-keyboard-response,60,331013,0.0-10.0-1.17,j9ech,
1620,iaps/2490l.JPG,,image-button-response,61,332636,0.0-10.0-0.18,j9ech,0
4310,iaps/2490l.JPG,32,image-keyboard-response,62,337638,0.0-10.0-1.18,j9ech,
1960,iaps/6831h.jpg,,image-button-response,63,339603,0.0-10.0-0.19,j9ech,1
null,iaps/6831h.jpg,null,image-keyboard-response,64,344605,0.0-10.0-1.19,j9ech,
3061,iaps/9410h.JPG,,image-button-response,65,347669,0.0-10.0-0.20,j9ech,1
null,iaps/9410h.JPG,null,image-keyboard-response,66,352671,0.0-10.0-1.20,j9ech,
1535,iaps/1301l.jpg,,image-button-response,67,354209,0.0-10.0-0.21,j9ech,0
null,iaps/1301l.jpg,null,image-keyboard-response,68,359211,0.0-10.0-1.21,j9ech,
1684,iaps/3000h.JPG,,image-button-response,69,360897,0.0-10.0-0.22,j9ech,1
null,iaps/3000h.JPG,null,image-keyboard-response,70,365900,0.0-10.0-1.22,j9ech,
3009,iaps/3230h.JPG,,image-button-response,71,368911,0.0-10.0-0.23,j9ech,0
null,iaps/3230h.JPG,null,image-keyboard-response,72,373913,0.0-10.0-1.23,j9ech,
1637,iaps/2278l.jpg,,image-button-response,73,375553,0.0-10.0-0.24,j9ech,0
null,iaps/2278l.jpg,null,image-keyboard-response,74,380555,0.0-10.0-1.24,j9ech,
1625,iaps/9102l.JPG,,image-button-response,75,382182,0.0-10.0-0.25,j9ech,0
null,iaps/9102l.JPG,null,image-keyboard-response,76,387185,0.0-10.0-1.25,j9ech,
2076,iaps/9252h.jpg,,image-button-response,77,389263,0.0-10.0-0.26,j9ech,1
null,iaps/9252h.jpg,null,image-keyboard-response,78,394265,0.0-10.0-1.26,j9ech,
1697,iaps/2053h.JPG,,image-button-response,79,395965,0.0-10.0-0.27,j9ech,0
null,iaps/2053h.JPG,null,image-keyboard-response,80,400967,0.0-10.0-1.27,j9ech,
2424,iaps/3530h.JPG,,image-button-response,81,403392,0.0-10.0-0.28,j9ech,1
null,iaps/3530h.JPG,null,image-keyboard-response,82,408394,0.0-10.0-1.28,j9ech,
2263,iaps/2312l.jpg,,image-button-response,83,410660,0.0-10.0-0.29,j9ech,0
null,iaps/2312l.jpg,null,image-keyboard-response,84,415662,0.0-10.0-1.29,j9ech,
1961,<center><p>Thank you for your participation! Your response has been recorded.</p></center>,32,html-keyboard-response,85,417625,0.0-11.0,j9ech,
803,"<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 8 minutes. You will receive $X.XX as payment for your participation. The risks associated with this study are no greater than the risks one might encounter in everyday life. If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals.  Your individual privacy will be maintained in all published and written data resulting from the study.</p><p>If you have questions about this study, please contact us at <u>stanfordpsych251@gmail.com</u>.</p><p>Press the spacebar to begin.</p></center>",32,html-keyboard-response,0,807,0.0-0.0,auxxy,
1765,<center><p>You will see a series of 4 images accompanied by instructions for two emotion regulation strategies: <b>reappraisal</b> and <b>distraction</b></p></center>,32,html-keyboard-response,1,2575,0.0-1.0,auxxy,
3105,iaps/3030ht.jpg,32,image-keyboard-response,2,5683,0.0-2.0-0.0,auxxy,
2235,iaps/1111lt.jpg,32,image-keyboard-response,3,7921,0.0-2.0-0.1,auxxy,
2520,iaps/2205ht.jpg,32,image-keyboard-response,4,10444,0.0-3.0-0.0,auxxy,
2099,iaps/1019lt.jpg,32,image-keyboard-response,5,12545,0.0-3.0-0.1,auxxy,
1973,"<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly. You will then see that same image and implement the strategy that is written under the image <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,6,14521,0.0-4.0,auxxy,
1680,iaps/2120lp.jpg,32,image-keyboard-response,7,16203,0.0-5.0-0.0,auxxy,
3503,iaps/2120lp.jpg,32,image-keyboard-response,8,21206,0.0-5.0-1.0,auxxy,
899,iaps/2703hp.jpg,32,image-keyboard-response,9,22107,0.0-5.0-0.1,auxxy,
null,iaps/2703hp.jpg,null,image-keyboard-response,10,27110,0.0-5.0-1.1,auxxy,
708,iaps/3051jp.jpg,32,image-keyboard-response,11,27820,0.0-6.0-0.0,auxxy,
4803,iaps/3051jp.jpg,32,image-keyboard-response,12,32823,0.0-6.0-1.0,auxxy,
1346,iaps/7521lp.jpg,32,image-keyboard-response,13,34171,0.0-6.0-0.1,auxxy,
null,iaps/7521lp.jpg,null,image-keyboard-response,14,39176,0.0-6.0-1.1,auxxy,
712,"<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly and <b>select which regulation strategy to use</b>. You will then see that same image and implement the strategy you chose <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,15,39890,0.0-7.0,auxxy,
3160,iaps/9145lp.jpg,,image-button-response,16,43054,0.0-8.0-0.0,auxxy,1
null,iaps/9145lp.jpg,null,image-keyboard-response,17,48056,0.0-8.0-1.0,auxxy,
2565,iaps/9921hp.jpg,,image-button-response,18,50624,0.0-8.0-0.1,auxxy,1
null,iaps/9921hp.jpg,null,image-keyboard-response,19,55625,0.0-8.0-1.1,auxxy,
1584,iaps/8231lp.jpg,,image-button-response,20,57212,0.0-8.0-0.2,auxxy,0
null,iaps/8231lp.jpg,null,image-keyboard-response,21,62215,0.0-8.0-1.2,auxxy,
1784,iaps/3181hp.jpg,,image-button-response,22,64001,0.0-8.0-0.3,auxxy,0
null,iaps/3181hp.jpg,null,image-keyboard-response,23,69003,0.0-8.0-1.3,auxxy,
2903,"<center><p>You will see a series of images presented briefly and <b>select which regulation strategy to use for each image</b>. You will then see the same images again and implement the strategy you chose <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,24,71908,0.0-9.0,auxxy,
2891,iaps/9160l.JPG,,image-button-response,25,74801,0.0-10.0-0.0,auxxy,0
null,iaps/9160l.JPG,null,image-keyboard-response,26,79805,0.0-10.0-1.0,auxxy,
1387,iaps/3000h.JPG,,image-button-response,27,81194,0.0-10.0-0.1,auxxy,1
null,iaps/3000h.JPG,null,image-keyboard-response,28,86197,0.0-10.0-1.1,auxxy,
1883,iaps/6836l.jpg,,image-button-response,29,88082,0.0-10.0-0.2,auxxy,0
null,iaps/6836l.jpg,null,image-keyboard-response,30,93084,0.0-10.0-1.2,auxxy,
1906,iaps/9252h.jpg,,image-button-response,31,94993,0.0-10.0-0.3,auxxy,1
null,iaps/9252h.jpg,null,image-keyboard-response,32,99996,0.0-10.0-1.3,auxxy,
1615,iaps/2278l.jpg,,image-button-response,33,101613,0.0-10.0-0.4,auxxy,0
null,iaps/2278l.jpg,null,image-keyboard-response,34,106617,0.0-10.0-1.4,auxxy,
1860,iaps/2053h.JPG,,image-button-response,35,108479,0.0-10.0-0.5,auxxy,1
null,iaps/2053h.JPG,null,image-keyboard-response,36,113481,0.0-10.0-1.5,auxxy,
1466,iaps/3068h.jpg,,image-button-response,37,114949,0.0-10.0-0.6,auxxy,1
null,iaps/3068h.jpg,null,image-keyboard-response,38,119950,0.0-10.0-1.6,auxxy,
2646,iaps/3530h.JPG,,image-button-response,39,122599,0.0-10.0-0.7,auxxy,0
null,iaps/3530h.JPG,null,image-keyboard-response,40,127602,0.0-10.0-1.7,auxxy,
1488,iaps/9102l.JPG,,image-button-response,41,129093,0.0-10.0-0.8,auxxy,0
null,iaps/9102l.JPG,null,image-keyboard-response,42,134095,0.0-10.0-1.8,auxxy,
2232,iaps/9120l.JPG,,image-button-response,43,136329,0.0-10.0-0.9,auxxy,0
null,iaps/9120l.JPG,null,image-keyboard-response,44,141333,0.0-10.0-1.9,auxxy,
1733,iaps/3140h.JPG,,image-button-response,45,143068,0.0-10.0-0.10,auxxy,1
null,iaps/3140h.JPG,null,image-keyboard-response,46,148071,0.0-10.0-1.10,auxxy,
1908,iaps/2312l.jpg,,image-button-response,47,149982,0.0-10.0-0.11,auxxy,0
null,iaps/2312l.jpg,null,image-keyboard-response,48,154985,0.0-10.0-1.11,auxxy,
1113,iaps/9181h.jpg,,image-button-response,49,156101,0.0-10.0-0.12,auxxy,1
null,iaps/9181h.jpg,null,image-keyboard-response,50,161103,0.0-10.0-1.12,auxxy,
1999,iaps/9410h.JPG,,image-button-response,51,163104,0.0-10.0-0.13,auxxy,1
null,iaps/9410h.JPG,null,image-keyboard-response,52,168104,0.0-10.0-1.13,auxxy,
1641,iaps/3180h.JPG,,image-button-response,53,169746,0.0-10.0-0.14,auxxy,0
null,iaps/3180h.JPG,null,image-keyboard-response,54,174747,0.0-10.0-1.14,auxxy,
1907,iaps/9470l.jpg,,image-button-response,55,176656,0.0-10.0-0.15,auxxy,0
null,iaps/9470l.jpg,null,image-keyboard-response,56,181658,0.0-10.0-1.15,auxxy,
1594,iaps/6190l.JPG,,image-button-response,57,183253,0.0-10.0-0.16,auxxy,0
null,iaps/6190l.JPG,null,image-keyboard-response,58,188254,0.0-10.0-1.16,auxxy,
1750,iaps/3150h.JPG,,image-button-response,59,190007,0.0-10.0-0.17,auxxy,1
null,iaps/3150h.JPG,null,image-keyboard-response,60,195008,0.0-10.0-1.17,auxxy,
1740,iaps/6010l.JPG,,image-button-response,61,196750,0.0-10.0-0.18,auxxy,0
null,iaps/6010l.JPG,null,image-keyboard-response,62,201753,0.0-10.0-1.18,auxxy,
1930,iaps/2800h.JPG,,image-button-response,63,203686,0.0-10.0-0.19,auxxy,0
null,iaps/2800h.JPG,null,image-keyboard-response,64,208687,0.0-10.0-1.19,auxxy,
1788,iaps/2700l.JPG,,image-button-response,65,210477,0.0-10.0-0.20,auxxy,0
null,iaps/2700l.JPG,null,image-keyboard-response,66,215479,0.0-10.0-1.20,auxxy,
1409,iaps/3230h.JPG,,image-button-response,67,216890,0.0-10.0-0.21,auxxy,0
null,iaps/3230h.JPG,null,image-keyboard-response,68,221892,0.0-10.0-1.21,auxxy,
1465,iaps/7360l.JPG,,image-button-response,69,223359,0.0-10.0-0.22,auxxy,0
null,iaps/7360l.JPG,null,image-keyboard-response,70,228362,0.0-10.0-1.22,auxxy,
1882,iaps/9420h.JPG,,image-button-response,71,230247,0.0-10.0-0.23,auxxy,1
null,iaps/9420h.JPG,null,image-keyboard-response,72,235250,0.0-10.0-1.23,auxxy,
1627,iaps/2490l.JPG,,image-button-response,73,236878,0.0-10.0-0.24,auxxy,0
null,iaps/2490l.JPG,null,image-keyboard-response,74,241881,0.0-10.0-1.24,auxxy,
2425,iaps/6831h.jpg,,image-button-response,75,244307,0.0-10.0-0.25,auxxy,1
null,iaps/6831h.jpg,null,image-keyboard-response,76,249310,0.0-10.0-1.25,auxxy,
1703,iaps/3261h.jpg,,image-button-response,77,251016,0.0-10.0-0.26,auxxy,1
null,iaps/3261h.jpg,null,image-keyboard-response,78,256019,0.0-10.0-1.26,auxxy,
1428,iaps/9440l.JPG,,image-button-response,79,257448,0.0-10.0-0.27,auxxy,0
null,iaps/9440l.JPG,null,image-keyboard-response,80,262451,0.0-10.0-1.27,auxxy,
1503,iaps/2691l.jpg,,image-button-response,81,263956,0.0-10.0-0.28,auxxy,0
null,iaps/2691l.jpg,null,image-keyboard-response,82,268960,0.0-10.0-1.28,auxxy,
1387,iaps/1301l.jpg,,image-button-response,83,270348,0.0-10.0-0.29,auxxy,0
null,iaps/1301l.jpg,null,image-keyboard-response,84,275350,0.0-10.0-1.29,auxxy,
815,<center><p>Thank you for your participation! Your response has been recorded.</p></center>,32,html-keyboard-response,85,276166,0.0-11.0,auxxy,
