"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","button_pressed"
"712","<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly and <b>select which regulation strategy to use</b>. You will then see that same image and implement the strategy you chose <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>","32","html-keyboard-response","15","39890","0.0-7.0","auxxy",""
"3160","iaps/9145lp.jpg","","image-button-response","16","43054","0.0-8.0-0.0","auxxy","1"
"null","iaps/9145lp.jpg","null","image-keyboard-response","17","48056","0.0-8.0-1.0","auxxy",""
"2565","iaps/9921hp.jpg","","image-button-response","18","50624","0.0-8.0-0.1","auxxy","1"
"null","iaps/9921hp.jpg","null","image-keyboard-response","19","55625","0.0-8.0-1.1","auxxy",""
"1583.9999999999927","iaps/8231lp.jpg","","image-button-response","20","57212","0.0-8.0-0.2","auxxy","0"
"null","iaps/8231lp.jpg","null","image-keyboard-response","21","62215","0.0-8.0-1.2","auxxy",""
"1784","iaps/3181hp.jpg","","image-button-response","22","64001","0.0-8.0-0.3","auxxy","0"
"null","iaps/3181hp.jpg","null","image-keyboard-response","23","69003","0.0-8.0-1.3","auxxy",""
"2903","<center><p>You will see a series of images presented briefly and <b>select which regulation strategy to use for each image</b>. You will then see the same images again and implement the strategy you chose <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>","32","html-keyboard-response","24","71908","0.0-9.0","auxxy",""
"2891","iaps/9160l.JPG","","image-button-response","25","74801","0.0-10.0-0.0","auxxy","0"
"null","iaps/9160l.JPG","null","image-keyboard-response","26","79805","0.0-10.0-1.0","auxxy",""
"1387","iaps/3000h.JPG","","image-button-response","27","81194","0.0-10.0-0.1","auxxy","1"
"null","iaps/3000h.JPG","null","image-keyboard-response","28","86197","0.0-10.0-1.1","auxxy",""
"1882.9999999999854","iaps/6836l.jpg","","image-button-response","29","88082","0.0-10.0-0.2","auxxy","0"
"null","iaps/6836l.jpg","null","image-keyboard-response","30","93084","0.0-10.0-1.2","auxxy",""
"1905.9999999999854","iaps/9252h.jpg","","image-button-response","31","94993","0.0-10.0-0.3","auxxy","1"
"null","iaps/9252h.jpg","null","image-keyboard-response","32","99996","0.0-10.0-1.3","auxxy",""
"1615.0000000000146","iaps/2278l.jpg","","image-button-response","33","101613","0.0-10.0-0.4","auxxy","0"
"null","iaps/2278l.jpg","null","image-keyboard-response","34","106617","0.0-10.0-1.4","auxxy",""
"1860","iaps/2053h.JPG","","image-button-response","35","108479","0.0-10.0-0.5","auxxy","1"
"null","iaps/2053h.JPG","null","image-keyboard-response","36","113481","0.0-10.0-1.5","auxxy",""
"1466.0000000000146","iaps/3068h.jpg","","image-button-response","37","114949","0.0-10.0-0.6","auxxy","1"
"null","iaps/3068h.jpg","null","image-keyboard-response","38","119950","0.0-10.0-1.6","auxxy",""
"2646","iaps/3530h.JPG","","image-button-response","39","122599","0.0-10.0-0.7","auxxy","0"
"null","iaps/3530h.JPG","null","image-keyboard-response","40","127602","0.0-10.0-1.7","auxxy",""
"1487.9999999999854","iaps/9102l.JPG","","image-button-response","41","129093","0.0-10.0-0.8","auxxy","0"
"null","iaps/9102l.JPG","null","image-keyboard-response","42","134095","0.0-10.0-1.8","auxxy",""
"2232","iaps/9120l.JPG","","image-button-response","43","136329","0.0-10.0-0.9","auxxy","0"
"null","iaps/9120l.JPG","null","image-keyboard-response","44","141333","0.0-10.0-1.9","auxxy",""
"1733","iaps/3140h.JPG","","image-button-response","45","143068","0.0-10.0-0.10","auxxy","1"
"null","iaps/3140h.JPG","null","image-keyboard-response","46","148071","0.0-10.0-1.10","auxxy",""
"1908","iaps/2312l.jpg","","image-button-response","47","149982","0.0-10.0-0.11","auxxy","0"
"null","iaps/2312l.jpg","null","image-keyboard-response","48","154985","0.0-10.0-1.11","auxxy",""
"1113","iaps/9181h.jpg","","image-button-response","49","156101","0.0-10.0-0.12","auxxy","1"
"null","iaps/9181h.jpg","null","image-keyboard-response","50","161103","0.0-10.0-1.12","auxxy",""
"1999","iaps/9410h.JPG","","image-button-response","51","163104","0.0-10.0-0.13","auxxy","1"
"null","iaps/9410h.JPG","null","image-keyboard-response","52","168104","0.0-10.0-1.13","auxxy",""
"1641","iaps/3180h.JPG","","image-button-response","53","169746","0.0-10.0-0.14","auxxy","0"
"null","iaps/3180h.JPG","null","image-keyboard-response","54","174747","0.0-10.0-1.14","auxxy",""
"1907","iaps/9470l.jpg","","image-button-response","55","176656","0.0-10.0-0.15","auxxy","0"
"null","iaps/9470l.jpg","null","image-keyboard-response","56","181658","0.0-10.0-1.15","auxxy",""
"1594","iaps/6190l.JPG","","image-button-response","57","183253","0.0-10.0-0.16","auxxy","0"
"null","iaps/6190l.JPG","null","image-keyboard-response","58","188254","0.0-10.0-1.16","auxxy",""
"1750","iaps/3150h.JPG","","image-button-response","59","190007","0.0-10.0-0.17","auxxy","1"
"null","iaps/3150h.JPG","null","image-keyboard-response","60","195008","0.0-10.0-1.17","auxxy",""
"1740","iaps/6010l.JPG","","image-button-response","61","196750","0.0-10.0-0.18","auxxy","0"
"null","iaps/6010l.JPG","null","image-keyboard-response","62","201753","0.0-10.0-1.18","auxxy",""
"1930","iaps/2800h.JPG","","image-button-response","63","203686","0.0-10.0-0.19","auxxy","0"
"null","iaps/2800h.JPG","null","image-keyboard-response","64","208687","0.0-10.0-1.19","auxxy",""
"1788","iaps/2700l.JPG","","image-button-response","65","210477","0.0-10.0-0.20","auxxy","0"
"null","iaps/2700l.JPG","null","image-keyboard-response","66","215479","0.0-10.0-1.20","auxxy",""
"1409","iaps/3230h.JPG","","image-button-response","67","216890","0.0-10.0-0.21","auxxy","0"
"null","iaps/3230h.JPG","null","image-keyboard-response","68","221892","0.0-10.0-1.21","auxxy",""
"1465","iaps/7360l.JPG","","image-button-response","69","223359","0.0-10.0-0.22","auxxy","0"
"null","iaps/7360l.JPG","null","image-keyboard-response","70","228362","0.0-10.0-1.22","auxxy",""
"1882","iaps/9420h.JPG","","image-button-response","71","230247","0.0-10.0-0.23","auxxy","1"
"null","iaps/9420h.JPG","null","image-keyboard-response","72","235250","0.0-10.0-1.23","auxxy",""
"1627","iaps/2490l.JPG","","image-button-response","73","236878","0.0-10.0-0.24","auxxy","0"
"null","iaps/2490l.JPG","null","image-keyboard-response","74","241881","0.0-10.0-1.24","auxxy",""
"2425","iaps/6831h.jpg","","image-button-response","75","244307","0.0-10.0-0.25","auxxy","1"
"null","iaps/6831h.jpg","null","image-keyboard-response","76","249310","0.0-10.0-1.25","auxxy",""
"1703","iaps/3261h.jpg","","image-button-response","77","251016","0.0-10.0-0.26","auxxy","1"
"null","iaps/3261h.jpg","null","image-keyboard-response","78","256019","0.0-10.0-1.26","auxxy",""
"1428.0000000000582","iaps/9440l.JPG","","image-button-response","79","257448","0.0-10.0-0.27","auxxy","0"
"null","iaps/9440l.JPG","null","image-keyboard-response","80","262451","0.0-10.0-1.27","auxxy",""
"1503","iaps/2691l.jpg","","image-button-response","81","263956","0.0-10.0-0.28","auxxy","0"
"null","iaps/2691l.jpg","null","image-keyboard-response","82","268960","0.0-10.0-1.28","auxxy",""
"1387","iaps/1301l.jpg","","image-button-response","83","270348","0.0-10.0-0.29","auxxy","0"
"null","iaps/1301l.jpg","null","image-keyboard-response","84","275350","0.0-10.0-1.29","auxxy",""
"815","<center><p>Thank you for your participation! Your response has been recorded.</p></center>","32","html-keyboard-response","85","276166","0.0-11.0","auxxy",""
